pathway_name,down
Metabolic pathways,7
Biosynthesis of antibiotics,5
Ribosome,4
Biosynthesis of amino acids,3
Biosynthesis of secondary metabolites,3
2-Oxocarboxylic acid metabolism,2
Aminoacyl-tRNA biosynthesis,2
Biofilm formation - Pseudomonas aeruginosa,2
Flagellar assembly,2
ABC transporters,1
"Alanine, aspartate and glutamate metabolism",1
D-Alanine metabolism,1
Glycerolipid metabolism,1
Homologous recombination,1
Microbial metabolism in diverse environments,1
Nitrogen metabolism,1
Nucleotide excision repair,1
