gene,log2FoldChange,padj,product_description,go_term,pathway_name
alc,3.15280924597492,3.58242467081777E-08,allantoicase,allantoin catabolic process,Căi metabolice
arcA,2.98118860437604,8.60160878588581E-07,arginine deiminase,arginine catabolic process,Biosinteza argininei
arcC,2.44412922976171,4.60656423367761E-05,carbamate kinase,arginine metabolic process,Biosinteza argininei
argF,3.89588693832857,6.66369295674792E-10,"ornithine carbamoyltransferase, anabolic",amino acid binding,Biosinteza argininei
aroK,1.60287186952915,0.000147104523033403,shikimate kinase,shikimate kinase activity,Biosinteza aminoacizilor
atpD,1.0238069664779,0.0495174111600461,ATP synthase beta chain,ATP metabolic process,Căi metabolice
catA,1.88363475640318,0.025659403796802,"catechol 1,2-dioxygenase",catalytic activity,Degradarea benzoatului
cobA,1.97627638455195,0.00013417583363066,uroporphyrin-III C-methyltransferase,methyltransferase activity,Biosinteza metaboliților secundari
cobU,2.35476061166571,0.00507661442063562,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity,Căi metabolice
cysQ,1.74269135925852,0.00647166223705672,"3,5-bisphosphate nucleotidase CysQ",phosphatidylinositol phosphorylation,Biosinteza antibioticelor
cysT,1.95593897565939,0.000175334256326901,sulfate transport protein CysT,sulfate transport,Transportori ABC
dapE,1.86208040264164,0.0125695097978435,succinyl-diaminopimelate desuccinylase,hydrolase activity,Biosinteza aminoacizilor
dctP,2.02634367782078,0.0370040479965286,DctP,transmembrane transport,Sistemul two-component 
fabA,2.06212129396035,1.64363531611149E-05,beta-hydroxydecanoyl-ACP dehydrase,cytoplasm,Biosinteza acizilor grași
fdnG,1.00180636005571,0.0361509493517964,"formate dehydrogenase-O, major subunit",anaerobic respiration,Metabolismul carbonului
flgH,2.21960565794918,0.014590765523114,flagellar L-ring protein precursor FlgH,motor activity,Asamblare flagelară
folB,10.3119460734862,6.35766948571618E-11,dihydroneopterin aldolase,dihydroneopterin aldolase activity,Biosinteza folatului
gmk,1.09111841908474,0.031632214062912,guanylate kinase,guanylate kinase activity,Căi metabolice
ilvE,2.72545775975584,8.6858990230481E-07,branched-chain amino acid transferase,catalytic activity,Metabolismul acidului 2-Oxocarboxylic
lepB,1.28892226383365,0.00207518950779375,signal peptidase I,serine-type peptidase activity,Exportul proteinelor
metE,1.20961319269524,0.00544282230221161,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,zinc ion binding,Biosinteza aminoacizilor
nirD,1.56879616056952,0.00481130697928742,assimilatory nitrite reductase small subunit,oxidoreductase activity,Metabolismul microbian în diverse medii
plsX,2.04111544848159,0.00191399701192598,fatty acid biosynthesis protein PlsX,catalytic activity,Biosinteza metaboliților secundari
ptsN,1.22537031586916,0.0101385560767296,nitrogen regulatory IIA protein,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,Sistemul fosfotransferazic (PTS)
ptsP,2.63899168413566,6.35637360241952E-07,phosphoenolpyruvate-protein phosphotransferase PtsP,"transferase activity, transferring phosphorus-containing groups",Sistemul fosfotransferazic (PTS)
purE,2.75246865242295,0.00042879031221886,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",'de novo' IMP biosynthetic process,Biosinteza antibioticelor
recA,2.32324635130275,0.00893754273527387,RecA protein,DNA binding,Recombinare omoloagă
recB,4.71329304008916,6.4671398294121E-11,exodeoxyribonuclease V beta chain,ATP binding,Recombinare omoloagă
rpiA,1.12041332749525,0.0369345236750394,ribose 5-phosphate isomerase,ribose-5-phosphate isomerase activity,Biosinteza aminoacizilor
rplJ,2.19241124103547,1.6639763027873E-06,50S ribosomal protein L10,ribosome biogenesis,Ribosom
rplL,4.09602104348009,3.06188077179475E-18,50S ribosomal protein L7 / L12,structural constituent of ribosome,Ribosom
rplO,3.60965033396164,5.16162259691301E-10,50S ribosomal protein L15,structural constituent of ribosome,Ribosom
rpoB,2.39109899188583,6.35637360241952E-07,DNA-directed RNA polymerase beta chain,DNA-directed 5'-3' RNA polymerase activity,Căi metabolice
rpsF,1.56640576278769,0.0196116614598535,30S ribosomal protein S6,structural constituent of ribosome,Ribosom
secA,1.54612598835672,0.00883850104878318,secretion protein SecA,ATP binding,Sistemul de secreție
secF,3.32811523478789,0.0289180737054321,secretion protein SecF,intracellular protein transport,Sistemul de secreție
secY,1.17310537658935,0.00970558752503637,secretion protein SecY,membrane,Sistemul de secreție
selD,1.8885046854207,1.88508188476011E-05,selenophosphate synthetase,ATP binding,Căi metabolice
tatB,1.52439491752966,0.0095793302040765,translocation protein TatB,membrane,Sistemul de secreție
uvrD,1.39940198141763,0.0125695097978435,UvrD helicase,DNA helicase activity,Reparare ADN
znuA,1.72121073736573,0.0078610363427032,ZnuA,metal ion transport,Transportori ABC
zur,2.59112551476438,0.000394948768250971,"zinc uptake regulator, Zur",DNA-binding transcription factor activity,Quorum sensing
