pathway_name,down
Metabolic pathways,9
Ribosome,5
2-Oxocarboxylic acid metabolism,3
Aminoacyl-tRNA biosynthesis,3
Biosynthesis of antibiotics,3
Biosynthesis of secondary metabolites,3
Biofilm formation - Pseudomonas aeruginosa,2
Biosynthesis of amino acids,2
Flagellar assembly,2
ABC transporters,1
"Alanine, aspartate and glutamate metabolism",1
Base excision repair,1
D-Alanine metabolism,1
Glycerolipid metabolism,1
Homologous recombination,1
Microbial metabolism in diverse environments,1
Nitrogen metabolism,1
Nucleotide excision repair,1
