gene,log2FoldChange,padj,product_description,go_term,pathway_name
alc,2.9202564578252406,5.279320123597351e-8,allantoicase,allantoin catabolic process,Metabolic pathways
arcA,3.0867667078132004,4.923806505199072e-8,arginine deiminase,arginine catabolic process,Arginine biosynthesis
arcC,2.4105653954399404,1.6434021883111577e-5,carbamate kinase,arginine metabolic process,Arginine biosynthesis
argF,3.2927699280826133,3.885403342052436e-8,"ornithine carbamoyltransferase, anabolic",amino acid binding,Arginine biosynthesis
aroK,1.799392413034312,3.5549056650252888e-6,shikimate kinase,shikimate kinase activity,Biosynthesis of amino acids
cobA,1.1383114660728095,0.028695239088681407,uroporphyrin-III C-methyltransferase,methyltransferase activity,Biosynthesis of secondary metabolites
cobO,1.623274026737061,0.003982258014180845,cob(I)alamin adenosyltransferase,ATP binding,Metabolic pathways
cobU,3.1535180301362566,2.2970548044878338e-5,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity,Metabolic pathways
cysQ,1.3417252624088793,0.028695239088681407,"3,5-bisphosphate nucleotidase CysQ",phosphatidylinositol phosphorylation,Biosynthesis of antibiotics
cysT,2.037161604528729,2.2490813133797864e-5,sulfate transport protein CysT,sulfate transport,ABC transporters
dapE,1.8375459719009295,0.008382599655485348,succinyl-diaminopimelate desuccinylase,hydrolase activity,Biosynthesis of amino acids
dctP,2.429130427877191,0.006038122557698275,DctP,transmembrane transport,Two-component system
fabA,1.6121419513294886,4.3935490062615274e-4,beta-hydroxydecanoyl-ACP dehydrase,cytoplasm,Fatty acid biosynthesis
fdnG,1.1251569744402663,0.010374845509443582,"formate dehydrogenase-O, major subunit",anaerobic respiration,Carbon metabolism
flgH,2.7384266405898816,6.478602537746921e-4,flagellar L-ring protein precursor FlgH,motor activity,Flagellar assembly
flgK,1.4911261494518155,0.015186985307836295,flagellar hook-associated protein 1 FlgK,structural molecule activity,Flagellar assembly
folB,9.18712334264103,2.241939427176394e-9,dihydroneopterin aldolase,dihydroneopterin aldolase activity,Folate biosynthesis
gatC,0.9474976383417658,0.03490041228338439,Glu-tRNA(Gln) amidotransferase subunit C,regulation of translational fidelity,Aminoacyl-tRNA biosynthesis
glcF,2.0212270208035563,9.366879905267529e-6,glycolate oxidase subunit GlcF,iron-sulfur cluster binding,Biosynthesis of antibiotics
gmk,1.1248292991844104,0.016470923715294843,guanylate kinase,guanylate kinase activity,Metabolic pathways
ilvE,2.974943185990618,8.630718417542942e-9,branched-chain amino acid transferase,catalytic activity,2-Oxocarboxylic acid metabolism
lepB,1.3773490223169318,3.07745725609833e-4,signal peptidase I,serine-type peptidase activity,Protein export
lipA,1.6308394444550371,0.004021216121980324,lactonizing lipase precursor,carbon utilization,Glycerolipid metabolism
metE,1.8714412828780085,8.836308311540537e-7,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,zinc ion binding,Biosynthesis of amino acids
nirD,1.910815485407395,1.1847474890517676e-4,assimilatory nitrite reductase small subunit,oxidoreductase activity,Microbial metabolism in diverse environments
pheS,1.1297307139685335,0.02863001320897797,"phenylalanyl-tRNA synthetase, alpha-subunit",phenylalanine-tRNA ligase activity,Aminoacyl-tRNA biosynthesis
plsX,1.7489550980010733,0.005177312919371991,fatty acid biosynthesis protein PlsX,catalytic activity,Biosynthesis of secondary metabolites
ptsN,1.5966758629927682,1.559939346815663e-4,nitrogen regulatory IIA protein,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity,Phosphotransferase system (PTS)
ptsP,2.3813993302044776,1.9841151884561038e-6,phosphoenolpyruvate-protein phosphotransferase PtsP,"transferase activity, transferring phosphorus-containing groups",Phosphotransferase system (PTS)
purE,3.139835265271944,1.165348574584533e-5,"phosphoribosylaminoimidazole carboxylase, catalytic subunit",'de novo' IMP biosynthetic process,Biosynthesis of antibiotics
recA,2.1454242229900955,0.009908284204040725,RecA protein,DNA binding,Homologous recombination
recB,4.235984846316447,4.705746513047725e-10,exodeoxyribonuclease V beta chain,ATP binding,Homologous recombination
rpiA,1.1734822618772136,0.01815605917794228,ribose 5-phosphate isomerase,ribose-5-phosphate isomerase activity,Biosynthesis of amino acids
rplJ,2.0074789588772317,3.1258775165554763e-6,50S ribosomal protein L10,ribosome biogenesis,Ribosome
rplL,3.7142786445008977,6.46560641594403e-17,50S ribosomal protein L7 / L12,structural constituent of ribosome,Ribosome
rplO,3.4354419558962763,3.4678983074264505e-10,50S ribosomal protein L15,structural constituent of ribosome,Ribosome
rplS,2.13403861186448,0.004021216121980324,50S ribosomal protein L19,structural constituent of ribosome,Ribosome
rpmC,1.4075413933168048,0.013441463611611101,50S ribosomal protein L29,structural constituent of ribosome,Ribosome
rpoB,2.310159220460534,3.056001482720718e-7,DNA-directed RNA polymerase beta chain,DNA-directed 5'-3' RNA polymerase activity,Metabolic pathways
rpsF,1.6525614203097991,0.007579067160385956,30S ribosomal protein S6,structural constituent of ribosome,Ribosome
secA,1.5449536192794573,0.004764892187750299,secretion protein SecA,ATP binding,Bacterial secretion system
secF,3.4376977060011464,0.016427549159564632,secretion protein SecF,intracellular protein transport,Bacterial secretion system
secY,1.0367736236649272,0.015186985307836295,secretion protein SecY,membrane,Bacterial secretion system
selD,1.60825727875161,1.237533992330863e-4,selenophosphate synthetase,ATP binding,Metabolic pathways
tatB,1.443061258969463,0.008767665042435268,translocation protein TatB,membrane,Bacterial secretion system
uvrD,1.125026735530753,0.03582872219150839,UvrD helicase,DNA helicase activity,Mismatch repair
zur,1.4872015516728214,0.043868745907271176,"zinc uptake regulator, Zur",DNA-binding transcription factor activity,Quorum sensing
