"Locus Tag","Product","Pathway Name","Pathway Xref","Pathway Database","Version","ECO code","ECO term","PMID",""
"PA0353","dihydroxy-acid dehydratase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0530","probable class III pyridoxal phosphate-dependent aminotransferase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0662","N-acetyl-gamma-glutamyl-phosphate reductase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0904","aspartate kinase alpha and beta chain","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1217","probable 2-isopropylmalate synthase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1417","probable decarboxylase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1562","aconitate hydratase 1","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1580","citrate synthase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1787","aconitate hydratase 2","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2035","probable decarboxylase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2413","L-2,4-diaminobutyrate:2-ketoglutarate 4-aminotransferase, PvdH","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2623","isocitrate dehydrogenase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2624","isocitrate dehydrogenase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2828","probable aminotransferase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3117","aspartate semialdehyde dehydrogenase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3118","3-isopropylmalate dehydrogenase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3120","3-isopropylmalate dehydratase small subunit","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3121","3-isopropylmalate dehydratase large subunit","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3506","probable decarboxylase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3792","2-isopropylmalate synthase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4180","probable acetolactate synthase large subunit","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4402","glutamate N-acetyltransferase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4694","ketol-acid reductoisomerase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4695","acetolactate synthase isozyme III small subunit","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4696","acetolactate synthase large subunit","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5013","branched-chain amino acid transferase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5204","N-acetylglutamate synthase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5206","acetylornithine deacetylase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5323","acetylglutamate kinase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5390","probable peptidic bond hydrolase","2-Oxocarboxylic acid metabolism","pae01210","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0030","CosX","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0184","probable ATP-binding component of ABC transporter","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0185","probable permease of ABC transporter","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0186","probable binding protein component of ABC transporter","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0203","probable binding protein component of ABC transporter","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0204","probable permease of ABC transporter","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0205","probable permease of ABC transporter","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0206","probable ATP-binding component of ABC transporter","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0280","sulfate transport protein CysA","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0281","sulfate transport protein CysW","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0282","sulfate transport protein CysT","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0283","sulfate-binding protein precursor","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0300","polyamine transport protein","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0301","polyamine transport protein","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0302","polyamine transport protein PotG","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0303","polyamine transport protein PotH","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0304","polyamine transport protein PotI","ABC transporters","pae02010","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
