gene,log2FoldChange,padj,product_description,go_term,pathway_name
accC,-1.51909696758047,0.0330069425434556,biotin carboxylase,ATP binding,Biosynthesis of antibiotics
aceE,-1.07765706266675,0.0126769914382211,pyruvate dehydrogenase,oxidoreductase activity,Biosynthesis of antibiotics
aceF,-1.28539660311526,0.0192457886986581,dihydrolipoamide acetyltransferase,"transferase activity, transferring acyl groups",Biosynthesis of antibiotics
acnA,-2.40996547703523,6.61798307539301E-07,aconitate hydratase 1,anaerobic respiration,2-Oxocarboxilic acid metabolism
alr,-5.04182676391269,1.60399599856776E-16,biosynthetic alanine racemase,alanine metabolic process,D-Alanine metabolism
aroB,-1.17526142206179,0.018247589084168,3-dehydroquinate synthase,aromatic amino acid family biosynthetic process,Biosynthesis of amino acids
aspS,-2.98286004731791,2.42694302065229E-05,aspartyl-tRNA synthetase,nucleic acid binding,Aminoacyl-tRNA biosynthesis
carA,-3.34808623018985,3.43847163801843E-12,carbamoyl-phosphate synthase small chain,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,"Alanine, aspartate and glutamate metabolism"
cmk,-2.14160595228985,2.22655341309616E-05,cytidylate kinase,cytidylate kinase activity,Metabolic pathways
cynS,-1.26013198069205,0.0330069425434556,cyanate lyase,DNA binding,Nitrogen metabolism
cysE,-1.9367196849758,0.000109816295393783,O-acetylserine synthase,cytoplasm,Biosynthesis of amino acids
dapF,-1.57300790264057,0.00548346120749829,diaminopimelate epimerase,cytoplasm,Biosynthesis of amino acids
dut,-2.15642447439644,3.47419116541587E-06,deoxyuridine 5'-triphosphate nucleotidohydrolase,magnesium ion binding,Metabolic pathways
epd,-3.46811213140528,0.00451930012879567,D-erythrose 4-phosphate dehydrogenase,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",Metabolic pathways
fliD,-1.36974862436816,0.00529999151244837,flagellar capping protein FliD,bacterial-type flagellum,Flagellar assembly
fliJ,-3.11564011449986,0.011298050161282,flagellar protein FliJ,bacterial-type flagellum,Flagellar assembly
gatB,-2.48978407898202,0.00377540019945718,Glu-tRNA(Gln) amidotransferase subunit B,catalytic activity,Aminoacyl-tRNA biosynthesis
glcD,-1.13502065505759,0.0278107770139453,glycolate oxidase subunit GlcD,catalytic activity,Biosynthesis of antibiotics
glpK,-2.30559547175152,0.000725854779533942,glycerol kinase,carbohydrate metabolic process,Glycerolipid metabolism
